N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 5.623E+16 320 1.900E-4 1.196494059E+00 1.228556194E+00
1.468000E+10 5.623E+16 320 1.900E-4 1.206287947E+00 1.229144963E+00
2.154000E+10 5.623E+16 320 1.900E-4 1.213926338E+00 1.229975436E+00
3.162000E+10 5.623E+16 320 1.900E-4 1.219997584E+00 1.231127218E+00
4.642000E+10 5.623E+16 320 1.900E-4 1.225049850E+00 1.232688278E+00
6.813000E+10 5.623E+16 320 1.900E-4 1.229543239E+00 1.234740398E+00
1.000000E+11 5.623E+16 320 1.900E-4 1.233822942E+00 1.237335369E+00
1.468000E+11 5.623E+16 320 1.900E-4 1.238102499E+00 1.240467142E+00
2.154000E+11 5.623E+16 320 1.900E-4 1.242461225E+00 1.244054325E+00
3.162000E+11 5.623E+16 320 1.900E-4 1.246868138E+00 1.247949409E+00
4.642000E+11 5.623E+16 320 1.900E-4 1.251233544E+00 1.251979092E+00
6.813000E+11 5.623E+16 320 1.900E-4 1.255469823E+00 1.255996457E+00
1.000000E+12 5.623E+16 320 1.900E-4 1.259533388E+00 1.259916980E+00
1.468000E+12 5.623E+16 320 1.900E-4 1.263435047E+00 1.263724092E+00
2.154000E+12 5.623E+16 320 1.900E-4 1.267226276E+00 1.267451504E+00
3.162000E+12 5.623E+16 320 1.900E-4 1.270978065E+00 1.271158979E+00
4.642000E+12 5.623E+16 320 1.900E-4 1.274764373E+00 1.274913445E+00
6.813000E+12 5.623E+16 320 1.900E-4 1.278664275E+00 1.278792852E+00
1.000000E+13 5.623E+16 320 1.900E-4 1.282777682E+00 1.282889560E+00
